-2.0 0.015677
-1.9 0.017189
-1.8 0.018708
-1.7 0.020191
-1.6 0.021596
-1.5 0.022901
-1.4 0.024153
-1.2999999999999998 0.025555
-1.2 0.027645
-1.1 0.031661
-1.0 0.040323
-0.8999999999999999 0.059482
-0.7999999999999998 0.101569
-0.7 0.192367
-0.5999999999999999 0.384491
-0.5 0.788334
-0.3999999999999999 1.645951
-0.2999999999999998 3.467233
-0.19999999999999996 7.398156
-0.09999999999999987 16.017571
0.0 31.426485
0.10000000000000009 16.017571
0.20000000000000018 7.398156
0.30000000000000027 3.467233
0.40000000000000036 1.645951
0.5 0.788334
0.6000000000000001 0.384491
0.7000000000000002 0.192367
0.8000000000000003 0.101569
0.9000000000000004 0.059482
1.0 0.040323
1.1 0.031661
1.2000000000000002 0.027645
1.3000000000000003 0.025555
1.4000000000000004 0.024153
1.5 0.022901
1.6 0.021596
1.7000000000000002 0.020191
1.8000000000000003 0.018708
1.9000000000000004 0.017189
2.0 0.015677
