3.00  -5.7523797162
3.20  -5.7572307162
3.40  -5.7603112655
3.60  -5.7622528875
3.80  -5.7634680624
4.00  -5.7642226673
4.20  -5.7646874574
4.40  -5.7649716769
4.60  -5.7651443515
4.80  -5.7652482674
5.00  -5.7653095365
5.20  -5.7653440923
5.40  -5.7653618636
5.60  -5.7653692526
5.80  -5.7653705043
6.00  -5.7653684394
6.20  -5.7653648721
6.40  -5.7653608908
6.60  -5.7653570762
6.80  -5.7653536799
7.00  -5.7653507625
7.20  -5.7653482919
7.40  -5.7653462028
7.60  -5.7653444296
7.80  -5.7653429177
8.00  -5.7653416258
8.20  -5.7653405226
8.40  -5.7653395833
8.60  -5.7653387869
8.80  -5.7653381146
9.00  -5.7653375489
9.20  -5.7653370739
9.40  -5.7653366756
9.60  -5.7653363414
9.80  -5.7653360606
10.00  -5.7653358243
