3.00  -5.7660893973
3.20  -5.7709667262
3.40  -5.7740678496
3.60  -5.7760238463
3.80  -5.7772479887
4.00  -5.7780073606
4.20  -5.7784738520
4.40  -5.7787576345
4.60  -5.7789284756
4.80  -5.7790297586
5.00  -5.7790880672
5.20  -5.7791196856
5.40  -5.7791347756
5.60  -5.7791398670
5.80  -5.7791392471
6.00  -5.7791357189
6.20  -5.7791310439
6.40  -5.7791262433
6.60  -5.7791218313
6.80  -5.7791180013
7.00  -5.7791147677
7.20  -5.7791120637
7.40  -5.7791097996
7.60  -5.7791078926
7.80  -5.7791062767
8.00  -5.7791049022
8.20  -5.7791037323
8.40  -5.7791027379
8.60  -5.7791018950
8.80  -5.7791011824
9.00  -5.7791005810
9.20  -5.7791000738
9.40  -5.7790996458
9.60  -5.7790992839
9.80  -5.7790989773
10.00  -5.7790987166
