3.00  -5.6978455534
3.20  -5.7028226495
3.40  -5.7059954920
3.60  -5.7080081713
3.80  -5.7092800289
4.00  -5.7100805966
4.20  -5.7105828608
4.40  -5.7108977263
4.60  -5.7110955698
4.80  -5.7112202597
5.00  -5.7112987407
5.20  -5.7113475763
5.40  -5.7113771811
5.60  -5.7113943517
5.80  -5.7114036690
6.00  -5.7114082487
6.20  -5.7114101637
6.40  -5.7114107241
6.60  -5.7114106948
6.80  -5.7114104756
7.00  -5.7114102429
7.20  -5.7114100533
7.40  -5.7114099101
7.60  -5.7114098000
7.80  -5.7114097105
8.00  -5.7114096344
8.20  -5.7114095689
8.40  -5.7114095139
8.60  -5.7114094696
8.80  -5.7114094359
9.00  -5.7114094114
9.20  -5.7114093945
9.40  -5.7114093833
9.60  -5.7114093759
9.80  -5.7114093709
10.00  -5.7114093671
