   1.000  -1.09031500
   1.100  -1.11750200
   1.200  -1.13348300
   1.300  -1.14157500
   1.400  -1.14409400
   1.500  -1.14263300
   1.600  -1.13835600
   1.700  -1.13209800
   1.800  -1.12447200
   1.900  -1.11593000
   2.000  -1.10680400
   2.100  -1.09734100
   2.200  -1.08772800
   2.300  -1.07810300
   2.400  -1.06857000
   2.500  -1.05920400
   2.600  -1.05006200
   2.700  -1.04118600
   2.800  -1.03260500
   2.900  -1.02434000
   3.000  -1.01640700
   3.100  -1.00881600
   3.200  -1.00157300
   3.300  -0.99467900
   3.400  -0.98813700
   3.500  -0.98194500
   3.600  -0.97609900
   3.700  -0.97059500
   3.800  -0.96543000
   3.900  -0.96059800
   4.000  -0.95609200
   4.100  -0.95190600
   4.200  -0.94803300
   4.300  -0.94446700
   4.400  -0.94119900
   4.500  -0.93822300
   4.600  -0.93553000
   4.700  -0.93311400
   4.800  -0.93096700
   4.900  -0.92908000
   5.000  -0.92744700
   5.100  -0.92605900
   5.200  -0.92490800
   5.300  -0.92398700
   5.400  -0.92328900
   5.500  -0.92280400
   5.600  -0.92252600
   5.700  -0.92244600
   5.800  -0.92255800
   5.900  -0.92285300
   6.000  -0.92332500
   6.100  -0.92396400
   6.200  -0.92476500
   6.300  -0.92572000
   6.400  -0.92682200
   6.500  -0.92806300
   6.600  -0.92943700
   6.700  -0.93093800
   6.800  -0.93255900
   6.900  -0.93429300
   7.000  -0.93613400
   7.100  -0.93807700
   7.200  -0.94011500
   7.300  -0.94224300
   7.400  -0.94445500
   7.500  -0.94674700
   7.600  -0.94911400
   7.700  -0.95155100
   7.800  -0.95405200
   7.900  -0.95661500
   8.000  -0.95923500
   8.100  -0.96190800
   8.200  -0.96463100
   8.300  -0.96740000
   8.400  -0.97021200
   8.500  -0.97306300
   8.600  -0.97595200
   8.700  -0.97887500
   8.800  -0.98183000
   8.900  -0.98481500
   9.000  -0.98782700
   9.100  -0.99086500
   9.200  -0.99392600
   9.300  -0.99701100
   9.400  -1.00011400
   9.500  -1.00323700
   9.600  -1.00637600
   9.700  -1.00953200
   9.800  -1.01270300
   9.900  -1.01588900
  10.000  -1.01908700
