   1.000  -1.0856280123
   1.100  -1.1162055468
   1.200  -1.1351201858
   1.300  -1.1457553988
   1.400  -1.1505618557
   1.500  -1.1511116447
   1.600  -1.1486746472
   1.700  -1.1440945428
   1.800  -1.1380378252
   1.900  -1.1309837227
   2.000  -1.1233049728
   2.100  -1.1152792677
   2.200  -1.1071112276
   2.300  -1.0989736270
   2.400  -1.0909752051
   2.500  -1.0832151791
   2.600  -1.0757562636
   2.700  -1.0686563676
   2.800  -1.0619434901
   2.900  -1.0556488725
   3.000  -1.0497828115
   3.100  -1.0443471942
   3.200  -1.0393432575
   3.300  -1.0347636067
   3.400  -1.0305947231
   3.500  -1.0268201236
   3.600  -1.0234201930
   3.700  -1.0203724330
   3.800  -1.0176526830
   3.900  -1.0152368981
   4.000  -1.0130995907
   4.100  -1.0112158361
   4.200  -1.0095616190
   4.300  -1.0081136567
   4.400  -1.0068501408
   4.500  -1.0057501477
   4.600  -1.0047952014
   4.700  -1.0039679764
   4.800  -1.0032528208
   4.900  -1.0026356983
   5.000  -1.0021040331
