   1.000  -4.7606747952
   1.100  -4.9317304023
   1.200  -5.0721905769
   1.300  -5.1884235681
   1.400  -5.2846266575
   1.500  -5.3640697471
   1.600  -5.4296112260
   1.700  -5.4834914472
   1.800  -5.5276863145
   1.900  -5.5638504284
   2.000  -5.5933775968
   2.100  -5.6174376256
   2.200  -5.6370017720
   2.300  -5.6528911324
   2.400  -5.6657718177
   2.500  -5.6761977200
   2.600  -5.6846227056
   2.700  -5.6914240940
   2.800  -5.6969060016
   2.900  -5.7013191984
   3.000  -5.7048668036
   3.100  -5.7077146049
   3.200  -5.7099975113
   3.300  -5.7118250001
   3.400  -5.7132858613
   3.500  -5.7144518002
   3.600  -5.7153812966
   3.700  -5.7161211051
   3.800  -5.7167091282
   3.900  -5.7171757469
   4.000  -5.7175457177
   4.100  -5.7178386012
   4.200  -5.7180701869
   4.300  -5.7182530639
   4.400  -5.7183973244
   4.500  -5.7185110049
   4.600  -5.7186004963
   4.700  -5.7186708844
   4.800  -5.7187262019
   4.900  -5.7187696459
   5.000  -5.7188037396
   5.100  -5.7188304824
   5.200  -5.7188514467
   5.300  -5.7188678748
   5.400  -5.7188807436
   5.500  -5.7188908259
   5.600  -5.7188987163
   5.700  -5.7189048930
   5.800  -5.7189097272
   5.900  -5.7189135129
   6.000  -5.7189164729
   6.100  -5.7189187891
   6.200  -5.7189206009
   6.300  -5.7189220178
   6.400  -5.7189231255
   6.500  -5.7189239949
   6.600  -5.7189246701
   6.700  -5.7189251966
   6.800  -5.7189256059
   6.900  -5.7189259232
   7.000  -5.7189261679
   7.100  -5.7189263556
   7.200  -5.7189264981
   7.300  -5.7189266048
   7.400  -5.7189266830
   7.500  -5.7189267387
   7.600  -5.7189267765
   7.700  -5.7189267999
   7.800  -5.7189268118
   7.900  -5.7189268304
   8.000  -5.7189268233
   8.100  -5.7189268131
   8.200  -5.7189267980
   8.300  -5.7189267795
   8.400  -5.7189267592
   8.500  -5.7189267369
   8.600  -5.7189267129
   8.700  -5.7189266881
   8.800  -5.7189266631
   8.900  -5.7189266384
   9.000  -5.7189266138
   9.100  -5.7189265903
   9.200  -5.7189265676
   9.300  -5.7189265460
   9.400  -5.7189265299
   9.500  -5.7189265111
   9.600  -5.7189264938
   9.700  -5.7189264779
   9.800  -5.7189264638
   9.900  -5.7189264496
  10.000  -5.7189264389
