   1.000  -4.7906294705
   1.100  -4.9606408040
   1.200  -5.0998991049
   1.300  -5.2150467510
   1.400  -5.3103042202
   1.500  -5.3889694003
   1.600  -5.4538868144
   1.700  -5.5072856344
   1.800  -5.5511137334
   1.900  -5.5870109673
   2.000  -5.6163518313
   2.100  -5.6402886028
   2.200  -5.6597772265
   2.300  -5.6756289254
   2.400  -5.6884997732
   2.500  -5.6989353945
   2.600  -5.7073838904
   2.700  -5.7142181451
   2.800  -5.7197387182
   2.900  -5.7241933020
   3.000  -5.7277828406
   3.100  -5.7306719457
   3.200  -5.7329941670
   3.300  -5.7348583786
   3.400  -5.7363528953
   3.500  -5.7375493297
   3.600  -5.7385060440
   3.700  -5.7392699341
   3.800  -5.7398791193
   3.900  -5.7403641060
   4.000  -5.7407497549
   4.100  -5.7410561195
   4.200  -5.7412991237
   4.300  -5.7414915850
   4.400  -5.7416438179
   4.500  -5.7417640775
   4.600  -5.7418589123
   4.700  -5.7419335716
   4.800  -5.7419922438
   4.900  -5.7420382464
   5.000  -5.7420742374
   5.100  -5.7421022848
   5.200  -5.7421240696
   5.300  -5.7421409020
   5.400  -5.7421538426
   5.500  -5.7421637055
   5.600  -5.7421711429
   5.700  -5.7421766826
   5.800  -5.7421807332
   5.900  -5.7421836125
   6.000  -5.7421855697
   6.100  -5.7421868245
   6.200  -5.7421875303
   6.300  -5.7421878118
   6.400  -5.7421877718
   6.500  -5.7421874868
   6.600  -5.7421870203
   6.700  -5.7421864218
   6.800  -5.7421857313
   6.900  -5.7421849766
   7.000  -5.7421841824
   7.100  -5.7421833679
   7.200  -5.7421825465
   7.300  -5.7421817287
   7.400  -5.7421809251
   7.500  -5.7421801400
   7.600  -5.7421793789
   7.700  -5.7421786450
   7.800  -5.7421779406
   7.900  -5.7421772773
   8.000  -5.7421766275
   8.100  -5.7421760134
   8.200  -5.7421754273
   8.300  -5.7421748824
   8.400  -5.7421743667
   8.500  -5.7421738676
   8.600  -5.7421734043
   8.700  -5.7421729680
   8.800  -5.7421725510
   8.900  -5.7421721531
   9.000  -5.7421717834
   9.100  -5.7421714240
   9.200  -5.7421710788
   9.300  -5.7421707435
   9.400  -5.7421704191
   9.500  -5.7421701041
   9.600  -5.7421697938
   9.700  -5.7421694866
   9.800  -5.7421691762
   9.900  -5.7421688746
  10.000  -5.7421685648
